name,type,hp,attack,image_url
Sandslash,Ground,75,100,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/sandslash.png
Sandslash Alolan Sandslash,Ice/Steel,75,100,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/sandslash-alolan.png
Nidoran♀,Poison,55,47,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/nidoran-f.png
Nidorina,Poison,70,62,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/nidorina.png
Nidoqueen,Poison/Ground,90,92,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/nidoqueen.png
Nidoran♂,Poison,46,57,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/nidoran-m.png
Nidorino,Poison,61,72,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/nidorino.png
Nidoking,Poison/Ground,81,102,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/nidoking.png
Clefairy,Fairy,70,45,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/clefairy.png
Clefable,Fairy,95,70,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/clefable.png
Vulpix,Fire,38,41,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/vulpix.png
Vulpix Alolan Vulpix,Ice,38,41,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/vulpix-alolan.png
Ninetales,Fire,73,76,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/ninetales.png
Ninetales Alolan Ninetales,Ice/Fairy,73,67,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/ninetales-alolan.png
Jigglypuff,Normal/Fairy,115,45,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/jigglypuff.png
Wigglytuff,Normal/Fairy,140,70,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/wigglytuff.png
Zubat,Poison/Flying,40,45,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/zubat.png
Golbat,Poison/Flying,75,80,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/golbat.png
Oddish,Grass/Poison,45,50,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/oddish.png
Gloom,Grass/Poison,60,65,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/gloom.png
Vileplume,Grass/Poison,75,80,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/vileplume.png
Paras,Bug/Grass,35,70,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/paras.png
Parasect,Bug/Grass,60,95,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/parasect.png
Venonat,Bug/Poison,60,55,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/venonat.png
Venomoth,Bug/Poison,70,65,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/venomoth.png
Diglett,Ground,10,55,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/diglett.png
Diglett Alolan Diglett,Ground/Steel,10,55,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/diglett-alolan.png
Dugtrio,Ground,35,100,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/dugtrio.png
Dugtrio Alolan Dugtrio,Ground/Steel,35,100,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/dugtrio-alolan.png
Meowth,Normal,40,45,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/meowth.png
Meowth Alolan Meowth,Dark,40,35,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/meowth-alolan.png
Meowth Galarian Meowth,Steel,50,65,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/meowth-galarian.png
Persian,Normal,65,70,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/persian.png
Persian Alolan Persian,Dark,65,60,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/persian-alolan.png
Psyduck,Water,50,52,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/psyduck.png
Golduck,Water,80,82,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/golduck.png
Mankey,Fighting,40,80,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/mankey.png
Primeape,Fighting,65,105,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/primeape.png
Growlithe,Fire,55,70,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/growlithe.png
Growlithe Hisuian Growlithe,Fire/Rock,60,75,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/growlithe-hisuian.png
Arcanine,Fire,90,110,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/arcanine.png
Arcanine Hisuian Arcanine,Fire/Rock,95,115,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/arcanine-hisuian.png
Poliwag,Water,40,50,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/poliwag.png
Poliwhirl,Water,65,65,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/poliwhirl.png
Poliwrath,Water/Fighting,90,95,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/poliwrath.png
Abra,Psychic,25,20,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/abra.png
Kadabra,Psychic,40,35,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/kadabra.png
Alakazam,Psychic,55,50,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/alakazam.png
Alakazam Mega Alakazam,Psychic,55,50,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/alakazam-mega.png
Machop,Fighting,70,80,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/machop.png
Machoke,Fighting,80,100,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/machoke.png
Machamp,Fighting,90,130,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/machamp.png
Bellsprout,Grass/Poison,50,75,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/bellsprout.png
Weepinbell,Grass/Poison,65,90,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/weepinbell.png
Victreebel,Grass/Poison,80,105,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/victreebel.png
Tentacool,Water/Poison,40,40,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/tentacool.png
Tentacruel,Water/Poison,80,70,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/tentacruel.png
Geodude,Rock/Ground,40,80,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/geodude.png
Geodude Alolan Geodude,Rock/Electric,40,80,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/geodude-alolan.png
Graveler,Rock/Ground,55,95,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/graveler.png
Graveler Alolan Graveler,Rock/Electric,55,95,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/graveler-alolan.png
Golem,Rock/Ground,80,120,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/golem.png
Golem Alolan Golem,Rock/Electric,80,120,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/golem-alolan.png
Ponyta,Fire,50,85,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/ponyta.png
Ponyta Galarian Ponyta,Psychic,50,85,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/ponyta-galarian.png
Rapidash,Fire,65,100,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/rapidash.png
Rapidash Galarian Rapidash,Psychic/Fairy,65,100,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/rapidash-galarian.png
Slowpoke,Water/Psychic,90,65,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/slowpoke.png
Slowpoke Galarian Slowpoke,Psychic,90,65,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/slowpoke-galarian.png
Slowbro,Water/Psychic,95,75,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/slowbro.png
Slowbro Mega Slowbro,Water/Psychic,95,75,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/slowbro-mega.png
Slowbro Galarian Slowbro,Poison/Psychic,95,100,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/slowbro-galarian.png
Magnemite,Electric/Steel,25,35,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/magnemite.png
Magneton,Electric/Steel,50,60,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/magneton.png
Farfetch'd,Normal/Flying,52,90,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/farfetchd.png
Farfetch'd Galarian Farfetch'd,Fighting,52,95,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/farfetchd-galarian.png
Doduo,Normal/Flying,35,85,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/doduo.png
Dodrio,Normal/Flying,60,110,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/dodrio.png
Seel,Water,65,45,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/seel.png
Dewgong,Water/Ice,90,70,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/dewgong.png
Grimer,Poison,80,80,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/grimer.png
Grimer Alolan Grimer,Poison/Dark,80,80,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/grimer-alolan.png
Muk,Poison,105,105,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/muk.png
Muk Alolan Muk,Poison/Dark,105,105,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/muk-alolan.png
Shellder,Water,30,65,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/shellder.png
Cloyster,Water/Ice,50,95,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/cloyster.png
Gastly,Ghost/Poison,30,35,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/gastly.png
Haunter,Ghost/Poison,45,50,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/haunter.png
Gengar,Ghost/Poison,60,65,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/gengar.png
Gengar Mega Gengar,Ghost/Poison,60,65,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/gengar-mega.png
Onix,Rock/Ground,35,45,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/onix.png
Drowzee,Psychic,60,48,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/drowzee.png
Hypno,Psychic,85,73,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/hypno.png
Krabby,Water,30,105,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/krabby.png
Kingler,Water,55,130,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/kingler.png
Voltorb,Electric,40,30,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/voltorb.png
Voltorb Hisuian Voltorb,Electric/Grass,40,30,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/voltorb-hisuian.png
Electrode,Electric,60,50,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/electrode.png
Electrode Hisuian Electrode,Electric/Grass,60,50,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/electrode-hisuian.png
Exeggcute,Grass/Psychic,60,40,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/exeggcute.png
Exeggutor,Grass/Psychic,95,95,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/exeggutor.png
Exeggutor Alolan Exeggutor,Grass/Dragon,95,105,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/exeggutor-alolan.png
Cubone,Ground,50,50,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/cubone.png
Marowak,Ground,60,80,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/marowak.png
Marowak Alolan Marowak,Fire/Ghost,60,80,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/marowak-alolan.png
Hitmonlee,Fighting,50,120,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/hitmonlee.png
Hitmonchan,Fighting,50,105,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/hitmonchan.png
Lickitung,Normal,90,55,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/lickitung.png
Koffing,Poison,40,65,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/koffing.png
Weezing,Poison,65,90,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/weezing.png
Weezing Galarian Weezing,Poison/Fairy,65,90,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/weezing-galarian.png
Rhyhorn,Ground/Rock,80,85,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/rhyhorn.png
Rhydon,Ground/Rock,105,130,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/rhydon.png
Chansey,Normal,250,5,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/chansey.png
Tangela,Grass,65,55,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/tangela.png
Kangaskhan,Normal,105,95,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/kangaskhan.png
Kangaskhan Mega Kangaskhan,Normal,105,125,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/kangaskhan-mega.png
Horsea,Water,30,40,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/horsea.png
Seadra,Water,55,65,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/seadra.png
Goldeen,Water,45,67,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/goldeen.png
Seaking,Water,80,92,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/seaking.png
Staryu,Water,30,45,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/staryu.png
Starmie,Water/Psychic,60,75,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/starmie.png
Mr. Mime,Psychic/Fairy,40,45,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/mr-mime.png
Mr. Mime Galarian Mr. Mime,Ice/Psychic,50,65,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/mr-mime-galarian.png
Scyther,Bug/Flying,70,110,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/scyther.png
Jynx,Ice/Psychic,65,50,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/jynx.png
Electabuzz,Electric,65,83,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/electabuzz.png
Magmar,Fire,65,95,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/magmar.png
Pinsir,Bug,65,125,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/pinsir.png
Pinsir Mega Pinsir,Bug/Flying,65,155,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/pinsir-mega.png
Tauros,Normal,75,100,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/tauros.png
Tauros Combat Breed,Fighting,75,110,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/tauros-paldean-combat.png
Tauros Blaze Breed,Fighting/Fire,75,110,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/tauros-paldean-blaze.png
Tauros Aqua Breed,Fighting/Water,75,110,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/tauros-paldean-aqua.png
Magikarp,Water,20,10,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/magikarp.png
Gyarados,Water/Flying,95,125,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/gyarados.png
Gyarados Mega Gyarados,Water/Dark,95,155,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/gyarados-mega.png
Lapras,Water/Ice,130,85,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/lapras.png
Ditto,Normal,48,48,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/ditto.png
Eevee,Normal,55,55,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/eevee.png
Eevee Partner Eevee,Normal,65,75,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/eevee-lets-go.png
Vaporeon,Water,130,65,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/vaporeon.png
Jolteon,Electric,65,65,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/jolteon.png
Flareon,Fire,65,130,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/flareon.png
Porygon,Normal,65,60,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/porygon.png
Omanyte,Rock/Water,35,40,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/omanyte.png
Omastar,Rock/Water,70,60,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/omastar.png
Kabuto,Rock/Water,30,80,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/kabuto.png
Kabutops,Rock/Water,60,115,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/kabutops.png
Aerodactyl,Rock/Flying,80,105,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/aerodactyl.png
Aerodactyl Mega Aerodactyl,Rock/Flying,80,135,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/aerodactyl-mega.png
Snorlax,Normal,160,110,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/snorlax.png
Articuno,Ice/Flying,90,85,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/articuno.png
Articuno Galarian Articuno,Psychic/Flying,90,85,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/articuno-galarian.png
Zapdos,Electric/Flying,90,90,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/zapdos.png
Zapdos Galarian Zapdos,Fighting/Flying,90,125,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/zapdos-galarian.png
Moltres,Fire/Flying,90,100,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/moltres.png
Moltres Galarian Moltres,Dark/Flying,90,85,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/moltres-galarian.png
Dratini,Dragon,41,64,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/dratini.png
Dragonair,Dragon,61,84,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/dragonair.png
Dragonite,Dragon/Flying,91,134,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/dragonite.png
Mewtwo,Psychic,106,110,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/mewtwo.png
Mewtwo Mega Mewtwo X,Psychic/Fighting,106,190,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/mewtwo-mega-x.png
Mewtwo Mega Mewtwo Y,Psychic,106,150,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/mewtwo-mega-y.png
Mew,Psychic,100,100,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/mew.png
Chikorita,Grass,45,49,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/chikorita.png
Bayleef,Grass,60,62,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/bayleef.png
Meganium,Grass,80,82,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/meganium.png
Cyndaquil,Fire,39,52,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/cyndaquil.png
Quilava,Fire,58,64,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/quilava.png
Typhlosion,Fire,78,84,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/typhlosion.png
Typhlosion Hisuian Typhlosion,Fire/Ghost,73,84,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/typhlosion-hisuian.png
Totodile,Water,50,65,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/totodile.png
Croconaw,Water,65,80,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/croconaw.png
Feraligatr,Water,85,105,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/feraligatr.png
Sentret,Normal,35,46,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/sentret.png
Furret,Normal,85,76,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/furret.png
Hoothoot,Normal/Flying,60,30,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/hoothoot.png
Noctowl,Normal/Flying,100,50,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/noctowl.png
Ledyba,Bug/Flying,40,20,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/ledyba.png
Ledian,Bug/Flying,55,35,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/ledian.png
Spinarak,Bug/Poison,40,60,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/spinarak.png
Ariados,Bug/Poison,70,90,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/ariados.png
Crobat,Poison/Flying,85,90,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/crobat.png
Chinchou,Water/Electric,75,38,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/chinchou.png
Lanturn,Water/Electric,125,58,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/lanturn.png
Pichu,Electric,20,40,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/pichu.png
Cleffa,Fairy,50,25,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/cleffa.png
Igglybuff,Normal/Fairy,90,30,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/igglybuff.png
Togepi,Fairy,35,20,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/togepi.png
Togetic,Fairy/Flying,55,40,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/togetic.png
Natu,Psychic/Flying,40,50,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/natu.png
Xatu,Psychic/Flying,65,75,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/xatu.png
Mareep,Electric,55,40,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/mareep.png
Flaaffy,Electric,70,55,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/flaaffy.png
Ampharos,Electric,90,75,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/ampharos.png
Ampharos Mega Ampharos,Electric/Dragon,90,95,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/ampharos-mega.png
Bellossom,Grass,75,80,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/bellossom.png
Marill,Water/Fairy,70,20,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/marill.png
Azumarill,Water/Fairy,100,50,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/azumarill.png
Sudowoodo,Rock,70,100,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/sudowoodo.png
Politoed,Water,90,75,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/politoed.png
Hoppip,Grass/Flying,35,35,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/hoppip.png
Skiploom,Grass/Flying,55,45,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/skiploom.png
Jumpluff,Grass/Flying,75,55,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/jumpluff.png
Aipom,Normal,55,70,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/aipom.png
Sunkern,Grass,30,30,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/sunkern.png
Sunflora,Grass,75,75,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/sunflora.png
Yanma,Bug/Flying,65,65,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/yanma.png
Wooper,Water/Ground,55,45,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/wooper.png
Wooper Paldean Wooper,Poison/Ground,55,45,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/wooper-paldean.png
Quagsire,Water/Ground,95,85,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/quagsire.png
Espeon,Psychic,65,65,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/espeon.png
Umbreon,Dark,95,65,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/umbreon.png
Murkrow,Dark/Flying,60,85,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/murkrow.png
Slowking,Water/Psychic,95,75,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/slowking.png
Slowking Galarian Slowking,Poison/Psychic,95,65,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/slowking-galarian.png
